Inst #;School Name;2015 Decile;"2015 
Step";Decile Change;Step Change;"July 2014 Funding roll
Years 9+";"July 2014 Funding roll
Total ";School Type;Authority;Territorial Local Authority;Regional Council;Ministry of Education Local Office;General Electorate;M?ori Electorate;Telephone;Fax;Email;Principal;School website;Physical address;Suburb;City;Postal Address 1;Postal Address 2;Postal Address 3;Postal Code;Urban Area;School Type;Definition;Authority;Gender of Students;Education Region;Census Area Unit;Ward;Latitude;Longitude ;Total School Roll (Sep15);European/ Pakeha;Maori;Pasifika;Asian;MELAA;Other;International Students
350;Akaroa Area School;8;P;0;0;65;142;Composite (Year 1-15);State;Christchurch City;Canterbury Region;Christchurch;Selwyn;Te Tai Tonga;03 3047108;03 3048781;office@akaroa.school.nz;Raymond Bygate;http://akaroaareaschool.co.nz;141 Rue Jolie;0;Akaroa;141 Rue Jolie;0;Akaroa;7520;Rural Area;Composite (Year 1-15);Not Applicable;State: Not integrated;Co-Educational;Canterbury;Akaroa;Banks Peninsula Ward;-43.811.179;172.962.434;140;105;30;0;3;2;0;0
6948;Albany Junior High School;10;Z;0;0;443;1021;Secondary (Year 7-15);State;Auckland- Upper Harbour;Auckland Region;Auckland North;East Coast Bays;Te Tai Tokerau;09 4155473;09 4158614;office@ajhs.school.nz;Stephen Kendall-Jones;http://www.ajhs.school.nz;Appleby Road;Albany;Auckland;PO Box 303269;North Harbour;North Shore City;751;Main Urban Area;Secondary (Year 7-10);Restricted Composite (Year 7-10);State: Not integrated;Co-Educational;Auckland;North Harbour West;Albany Ward;-36.749.098;174.692.581;1139;762;72;30;201;32;6;36
1202;Albany School;9;Q;-1;-1;0;639;Contributing;State;Auckland- Upper Harbour;Auckland Region;Auckland North;East Coast Bays;Te Tai Tokerau;09 4159668;09 4156434;admin@albany.school.nz;Maree Bathurst;http://www.albany.school.nz;6 Bass Road;Albany;Auckland;6 Bass Road;Albany;North Shore City;632;Main Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Auckland;North Harbour West;Albany Ward;-36.736.702;174.690.624;658;312;48;10;193;59;16;20
563;Albany Senior High School;10;Z;0;0;696;696;Secondary (Year 9-15);State;Auckland- Upper Harbour;Auckland Region;Auckland South;East Coast Bays;Te Tai Tokerau;09 4519065;09 4519209;info@ashs.school.nz;Barbara Cavanagh;http://www.ashs.school.nz;536 Albany Highway;Albany;Auckland;PO Box 300380;Albany;North Shore City;752;Main Urban Area;Secondary (Year 11-15);Not Applicable;State: Not integrated;Co-Educational;Auckland;Albany;Albany Ward;-36.730.178;174.695.766;742;454;58;12;145;57;3;13
3273;Albury School;8;P;0;0;0;28;Contributing;State;Mackenzie District;Canterbury Region;Christchurch;Waitaki;Te Tai Tonga;03 6855844;03 6855843;office@albury.school.nz;Kenneth Heaphy;http://www.albury.school.nz;78 Queen Street;0;Albury;78 Queen Street RD 14;0;Cave;7984;Rural Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Canterbury;Mackenzie;Opuha Ward;-44.230.478;170.870.609;34;30;2;0;2;0;0;0
3701;Alexandra School;8;P;0;0;0;191;Full Primary;State;Central Otago District;Otago Region;Dunedin;Waitaki;Te Tai Tonga;03 4488340;03 4488340;admin@alexprim.school.nz;Adele Gott;http://www.alexprim.school.nz;Ventry Street;0;Alexandra;Ventry Street;0;Alexandra;9320;Minor Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Otago/Southland;Alexandra;Alexandra Ward;-45.255.325;169.389.801;182;149;29;3;0;1;0;0
2801;Alfredton School;10;Z;1;1;0;50;Full Primary;State;Tararua District;Manawatu-Wanganui Region;Wellington;Wairarapa;Ikaroa-Rawhiti;06 3758082;0;office@alfredton.school.nz;Anita Phillips;http://www.alfredton.school.nz;15207 Route 52;Alfredton;Eketahuna;15207 Route 52 RD 3;0;Eketahuna;4996;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Wellington;Nireaha-Tiraumea;South Tararua Ward;-4.068.095;175.857.767;55;38;15;0;2;0;0;0
6929;Alfriston College;2;E;-1;-4;1343;1343;Secondary (Year 9-15);State;Auckland- Manurewa;Auckland Region;Auckland South;Papakura;Hauraki-Waikato;09 2690080;09 2690083;admin@alfristoncollege.school.nz;Robert Solomone;http://www.alfristoncollege.school.nz;550 Porchester Road;Manurewa;Auckland;PO Box 75448;Manurewa;Manukau;2243;Main Urban Area;Secondary (Year 9-15);Not Applicable;State: Not integrated;Co-Educational;Auckland;Randwick Park;Manurewa-Papakura Ward;-37.017.649;174.919.792;1334;231;466;300;285;41;5;6
1203;Alfriston School;8;P;-1;-1;0;306;Full Primary;State;Auckland- Franklin;Auckland Region;Auckland South;Papakura;Hauraki-Waikato;09 2667845;09 2668018;admin@alfriston.school.nz;Michelle McCarty;http://www.alfriston.school.nz;1373 Alfriston Road;Manurewa;Auckland;1373 Alfriston Road RD 1;Manurewa;Auckland;2576;Main Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Auckland;Ardmore;Franklin Ward;-37.016.728;174.940.053;335;165;54;24;87;4;1;0
1681;Allandale School;2;F;-1;-1;0;409;Contributing;State;Whakatane District;Bay of Plenty Region;Rotorua;East Coast;Waiariki;07 3087645;07 3070868;learnalot@allandale.school.nz;Andrew Manning;http://www.allandale.school.nz/;King Street;Kopeopeo;Whakatane;167 King Street;0;Whakatane;3120;Secondary Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Bay of Plenty/Rotorua/Taupo;Allandale-Mokorua;Whakatane-Ohope Ward;-37.968.787;176.983.304;420;110;300;4;3;3;0;0
3274;Allenton School;7;O;-1;-1;0;341;Contributing;State;Ashburton District;Canterbury Region;Christchurch;Rangitata;Te Tai Tonga;03 3086495;03 3086492;office@allenton.school.nz;Graham Smith;http://www.allenton.school.nz;110 Harrison Street;Allenton;Ashburton;110 Harrison Street;Allenton;Ashburton;7700;Secondary Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Canterbury;Allenton East;Ashburton Ward;-43.885.885;171.741.452;371;271;44;37;16;2;1;0
3275;Allenvale Special School and Res Centre;6;N;1;1;74;132;Special School;State;Christchurch City;Canterbury Region;Christchurch;Ilam;Te Tai Tonga;03 3516743;03 3514287;office@allenvale.school.nz;Graeme Daniel;http://www.allenvale.school.nz;14 A Aorangi Road;Bryndwr;Christchurch;14A Aorangi Road;Bryndwr;Christchurch;8053;Main Urban Area;Special School;Sch. for Intellectual Impairments;State: Not integrated;Co-Educational;Canterbury;Aorangi;Fendalton-Waimairi Ward;-43.499.967;172.598.921;128;91;10;9;14;2;2;0
544;Al-Madinah School;2;E;0;-1;137;521;Composite (Year 1-15);State: Integrated;Auckland- Mangere-Otahuhu;Auckland Region;Auckland South;Mangere;Tamaki Makaurau;09 2755195;09 2752292;info@al-madinah.school.nz;Asin Ali;http://www.al-madinah.school.nz/;8 Westney Road;Mangere;Auckland;PO Box 43246;Mangere;Manukau;2153;Main Urban Area;Composite (Year 1-15);Not Applicable;State: Integrated;Co-Educational;Auckland;Mangere South;Manukau Ward;-3.697.636;174.792.438;526;3;4;37;436;42;3;1
3276;Amberley School;7;O;0;0;0;240;Full Primary;State;Hurunui District;Canterbury Region;Christchurch;Kaikoura;Te Tai Tonga;03 3148309;03 3148709;office@amberley.school.nz;Kevin O'Halloran;http://www.amberley.school.nz;Lawcocks Road;0;Amberley;PO Box 148;0;Amberley;7441;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Canterbury;Leithfield;Amberley Ward;-43.152.379;172.723.044;247;207;27;8;4;0;1;0
614;Amesbury School;10;Z;0;0;0;139;Contributing;State;Wellington City;Wellington Region;Wellington;Ohariu;Te Tai Tonga;04 4773423;04 974 5956;office@amesbury.school.nz;Lesley Murrihy;http://www.amesbury.school.nz;48 Amesbury Drive;Churton Park;Wellington;48 Amesbury Drive;Churton Park;Wellington;6037;Main Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Wellington;Churton Park North;Northern Ward;-41.199.094;174.802.131;178;91;11;1;67;8;0;0
1682;Amisfield School;4;J;0;0;0;239;Full Primary;State;South Waikato District;Waikato Region;Hamilton;Taupo;Te Tai Hauauru;07 8865968;07 8869262;office@amisfield.school.nz;Bex Kilgour;http://www.amisfield.school.nz;Moffat Road;0;Tokoroa;Moffat Road;0;Tokoroa;3420;Secondary Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Waikato;Amisfield;Tokoroa Ward;-38.236.275;175.882.807;196;103;62;19;5;6;1;0
308;Amuri Area School;8;P;0;0;93;269;Composite (Year 1-15);State;Hurunui District;Canterbury Region;Christchurch;Kaikoura;Te Tai Tonga;03 3158233;03 3158476;office@amuri.school.nz;James Griggs;http://www.amuri.school.nz;School Road;0;Culverden;PO Box 62;0;Culverden;7345;Rural Area;Composite (Year 1-15);Not Applicable;State: Not integrated;Co-Educational;Canterbury;Culverden;Amuri-Hurunui Ward;-42.771.117;172.848.257;316;228;36;14;29;9;0;0
1204;Anchorage Park School;3;I;-1;-3;0;135;Contributing;State;Auckland- Howick;Auckland Region;Auckland South;Pakuranga;Tamaki Makaurau;09 5769175;09 5769176;office@anchoragepark.school.nz;Lynne Keohane;http://www.anchoragepark.school.nz/;Swan Crescent;Pakuranga;Auckland;16 Swan Crescent;Pakuranga;Manukau;2010;Main Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Auckland;Edgewater;Howick Ward;-36.919.697;174.867.013;154;36;50;36;19;11;2;0
3703;Andersons Bay School;10;Z;0;0;0;290;Contributing;State;Dunedin City;Otago Region;Dunedin;Dunedin South;Te Tai Tonga;03 4544413;03 4543263;admin@andybay.ac.nz;Hamish McDonald;http://www.andybay.ac.nz;92 Jeffery Street;Andersons Bay;Dunedin;92 Jeffery Street;Andersons Bay;Dunedin;9013;Main Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Otago/Southland;Andersons Bay;Central Ward;-45.894.907;170.535.455;309;252;29;4;19;3;2;0
683;Ao Tawhiti Unlimited Discovery;7;O;1;1;325;479;Composite (Year 1-15);State;Christchurch City;Canterbury Region;Christchurch;Ilam;Te Tai Tonga;03 3777773;0;0;Steven Mustor;http://www.aotawhiti.school.nz;Parkstone Avenue;Ilam;Christchurch;PO Box 4666;0;Christchurch;8140;Main Urban Area;Composite (Year 1-15);Designated Character School;State: Not integrated;Co-Educational;Canterbury;Ilam;Riccarton-Wigram Ward;-43.523.017;172.568.057;473;393;56;8;8;2;6;0
2332;Aokautere School;10;Z;0;0;0;84;Contributing;State;Palmerston North City;Manawatu-Wanganui Region;Whanganui;Rangitikei;Te Tai Hauauru;06 3574611;06 3574116;office@aokautere.school.nz;Valerie Ferry;http://www.aokautere.school.nz;Fitzherbert East Road;Aokautere;Palmerston North;169 Fitzherbert East Road RD 1;0;Palmerston North;4471;Main Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Taranaki/Whanganui/Manawatu;Aokautere;Ashhurst-Fitzherbert Ward;-40.363.624;17.566.447;95;73;15;4;2;1;0;0
3442;Aoraki Mount Cook School;9;Q;-1;-1;0;13;Full Primary;State;Mackenzie District;Canterbury Region;Christchurch;Waitaki;Te Tai Tonga;03 4351835;03 4351085;secretary@mountcook.school.nz;Coral Butler;https://www.facebook.com/pages/Aoraki-Mount-Cook-School/215334408504324;Sebastopol Drive;0;Mt Cook;PO Box 31;0;Mount Cook;7946;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Canterbury;Mt Cook;Pukaki Ward;-43.738.181;170.099.856;9;1;0;2;5;0;1;0
1683;Aorangi School (Rotorua);1;C;-1;-1;0;150;Contributing;State;Rotorua District;Bay of Plenty Region;Rotorua;Rotorua;Waiariki;07 3478448;07 3481513;office@aorangi.school.nz;Debra Harrod;http://aorangi.school.nz;3 Gem Street;Pukehangi;Rotorua;PO Box 8004;Pukehangi;Rotorua;3047;Main Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Bay of Plenty/Rotorua/Taupo;Pukehangi North;Area Outside Ward;-38.131.962;176.207.999;151;13;134;3;1;0;0;0
96;Aorere College;2;D;0;0;1496;1496;Secondary (Year 9-15);State;Auckland- Otara-Papatoetoe;Auckland Region;Auckland South;Manukau East;Tamaki Makaurau;09 2785608;09 2790640;office@aorere.ac.nz;Gregory Pierce;http://www.aorere.ac.nz/;Portage Road;Papatoetoe;Auckland;PO Box 23084;Hunters Corner;Manukau;2155;Main Urban Area;Secondary (Year 9-15);Not Applicable;State: Not integrated;Co-Educational;Auckland;Kohuora;Manukau Ward;-36.981.416;174.833.081;1467;60;278;809;310;5;3;2
253;Aotea College;5;M;0;0;913;913;Secondary (Year 9-15);State;Porirua City;Wellington Region;Wellington;Mana;Te Tai Hauauru;04 2373166;04 2373170;enquiries@aotea.school.nz;Kate Gainsford;http://www.aoteacollege.school.nz;Okowai Road;0;Porirua;PO Box 50046;0;Porirua;5240;Main Urban Area;Secondary (Year 9-15);Not Applicable;State: Not integrated;Co-Educational;Wellington;Papakowhai South;Eastern Ward;-41.125.156;174.854.396;900;356;245;222;55;16;3;3
1684;Apanui School;5;M;0;0;0;351;Contributing;State;Whakatane District;Bay of Plenty Region;Rotorua;East Coast;Waiariki;07 3087687;07 3086916;debbye@apanui.school.nz;Simon Akroyd;http://www.apanui.school.nz;92 Mcalister Street;0;Whakatane;92 McAlister Street;0;Whakatane;3120;Secondary Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Bay of Plenty/Rotorua/Taupo;Whakatane North;Whakatane-Ohope Ward;-3.795.703;176.989.578;376;185;167;2;15;6;1;0
409;Aparima College;6;N;1;1;127;185;Secondary (Year 7-15);State;Southland District;Southland Region;Invercargill;Invercargill;Te Tai Tonga;03 2348900;03 2348272;office@aparima.school.nz;Kaye Day;http://www.aparima.school.nz;33 Leader Street;0;Riverton;Leader Street;0;Riverton;9822;Minor Urban Area;Secondary (Year 7-15);Not Applicable;State: Not integrated;Co-Educational;Otago/Southland;Riverton East;Riverton Ward;-46.353.612;168.016.613;184;124;57;0;3;0;0;0
2333;Apiti School;9;Q;0;0;0;23;Full Primary;State;Manawatu District;Manawatu-Wanganui Region;Whanganui;Rangitikei;Te Tai Hauauru;06 3284884;0;christinedigby@apiti.school.nz;Mary Cuming;http://www.apiti.school.nz;11 Bryce Street;0;Apiti;11 Bryce Street RD 1;0;Apiti;4771;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Taranaki/Whanganui/Manawatu;Pohangina;Kiwitea-Pohangina Ward;-39.972.505;175.873.405;27;21;5;1;0;0;0;0
3180;Appleby School;9;Q;-1;-1;0;106;Contributing;State;Tasman District;Tasman Region;Nelson;West Coast-Tasman;Te Tai Tonga;03 5442898;03 5442898;admin@appleby.school.nz;Graham Avery;http://www.appleby.school.nz;Moutere Highway;0;Tasman;Appleby Highway RD 1;0;Richmond;7081;Rural Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Nelson/Marlborough/West Coast;Wai-Iti;Moutere-Waimea Ward;-41.306.922;173.119.986;121;109;10;2;0;0;0;0
482;Aquinas College;8;P;-1;-1;543;763;Secondary (Year 7-15);State: Integrated;Tauranga City;Bay of Plenty Region;Rotorua;Tauranga;Waiariki;07 5432400;07 5432403;admin@aquinas.school.nz;Raymond Scott;http://www.aquinas.school.nz;183 Pyes Pa Road;Pyes Pa;Tauranga;183 Pyes Pa Road RD 3;0;Tauranga;3173;Main Urban Area;Secondary (Year 7-15);Not Applicable;State: Integrated;Co-Educational;Bay of Plenty/Rotorua/Taupo;Pyes Pa;Otumoetai-Pyes Pa Ward;-37.750.885;176.121.981;760;613;70;11;38;9;5;14
1206;Arahoe School;5;M;0;0;0;709;Contributing;State;Auckland- Whau;Auckland Region;Auckland North;New Lynn;Tamaki Makaurau;09 8272710;09 8270449;office@arahoe.school.nz;Richard Limbrick;http://www.arahoe.school.nz;11 Arahoe Road;New Lynn;Waitakere;11 Arahoe Road;New Lynn;Waitakere;600;Main Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Auckland;Crum Park;Whau Ward;-36.922.866;174.674.452;826;310;90;111;280;25;7;3
2334;Arahunga School;3;I;-1;-1;24;50;Special School;State;Wanganui District;Manawatu-Wanganui Region;Whanganui;Whanganui;Te Tai Hauauru;06 3487139;06 3487149;arahunga.s.s@xtra.co.nz;Daniel Price;http://www.arahunga.co.nz;1 Poynter Place;Gonville;Whanganui;1 Poynter Place;Gonville;Whanganui;4501;Main Urban Area;Special School;Sch. for Intellectual Impairments;State: Not integrated;Co-Educational;Taranaki/Whanganui/Manawatu;Gonville East;Area Outside Ward;-39.939.081;17.503.077;51;34;13;1;2;0;1;0
2802;Arakura School;2;F;-1;-2;0;189;Contributing;State;Lower Hutt City;Wellington Region;Wellington;Hutt South;Ikaroa-Rawhiti;04 5646920;04 5646823;office@arakura.school.nz;Mark Kibblewhite;http://www.arakura.school.nz;209 Wellington Road;Wainuiomata;Lower Hutt;Private Bag 43905;Wainuiomata;Lower Hutt;5048;Main Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Wellington;Arakura;Wainuiomata Ward;-4.124.196;174.944.295;184;66;96;22;0;0;0;0
2335;Aramoho School;2;D;1;1;0;41;Full Primary;State;Wanganui District;Manawatu-Wanganui Region;Whanganui;Whanganui;Te Tai Hauauru;06 3438249;0;Kimberley@aramoho.school.nz;Marie Read (acting);0;2 Mitchell Street;Aramoho;Whanganui;PO Box 5026;Aramoho;Whanganui;4542;Main Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Taranaki/Whanganui/Manawatu;Lower Aramoho;Area Outside Ward;-39.901.038;17.506.352;22;4;13;5;0;0;0;0
1001;Aranga School;4;J;0;-1;0;28;Full Primary;State;Kaipara District;Northland Region;Whangarei;Northland;Te Tai Tokerau;09 4390634;0;admin@aranga.school.nz;Margaret Martin;http://aps.dargaville.org;State Highway 12;Aranga;Dargaville;State Highway 12 RD 6;0;Dargaville;376;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Tai Tokerau;Kaipara Coastal;West Coast-Central Ward;-35.738.759;173.613.785;27;10;16;0;1;0;0;0
323;Aranui High School;2;D;0;0;346;346;Secondary (Year 9-15);State;Christchurch City;Canterbury Region;Christchurch;Christchurch East;Te Tai Tonga;03 3887083;03 3887913;principal@ahs.school.nz;John Rohs;http://www.aranui-high.school.nz;Shortland Street;Aranui;Christchurch;PO Box 15019;Aranui;Christchurch;8643;Main Urban Area;Secondary (Year 9-15);Not Applicable;State: Not integrated;Co-Educational;Canterbury;Wainoni;Burwood-Pegasus Ward;-43.516.308;172.695.873;365;154;115;72;13;0;3;8
3279;Aranui School (Christchurch);1;B;0;1;0;157;Full Primary;State;Christchurch City;Canterbury Region;Christchurch;Christchurch East;Te Tai Tonga;03 3888306;03 3884599;office@aranui.school.nz;Mike Allen;http://www.aranui.school.nz;257 Breezes Road;Aranui;Christchurch;PO Box 15112;Aranui;Christchurch;8643;Main Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Canterbury;Aranui;Burwood-Pegasus Ward;-43.515.907;172.700.528;183;69;35;73;6;0;0;0
2336;Aranui School (Wanganui);1;C;0;1;0;102;Contributing;State;Wanganui District;Manawatu-Wanganui Region;Whanganui;Whanganui;Te Tai Hauauru;06 3446183;06 3446186;office@aranui-primary.school.nz;Maryann Roberts;0;Aranui Avenue;Castlecliff;Whanganui;Aranui Avenue;Castlecliff;Whanganui;4501;Main Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Taranaki/Whanganui/Manawatu;Castlecliff North;Area Outside Ward;-39.930.184;174.979.866;94;30;58;2;3;1;0;0
1002;Arapohue School;7;O;-1;-4;0;12;Full Primary;State;Kaipara District;Northland Region;Whangarei;Northland;Te Tai Tokerau;09 4397513;09 4391487;admin@arapohue.school.nz;Dianna Russek;0;Mititai Road;Arapohue;Dargaville;Mititai Road RD 10;0;Dargaville;370;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Tai Tokerau;Maungaru;West Coast-Central Ward;-36.007.772;17.394.475;18;12;4;2;0;0;0;0
1207;Ararimu School;10;Z;0;0;0;141;Full Primary;State;Auckland- Franklin;Auckland Region;Auckland South;Hunua;Hauraki-Waikato;09 2948372;09 2947743;office@ararimu.school.nz;Christine Stuart;http://www.ararimu.school.nz;7 Steel Road;0;Drury;7 Steel Road RD 3;0;Drury;2579;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Auckland;Hunua;Franklin Ward;-37.140.652;175.037.192;152;130;14;2;3;3;0;0
1686;Arataki School;3;I;1;3;0;341;Contributing;State;Tauranga City;Bay of Plenty Region;Rotorua;Bay of Plenty;Waiariki;07 5753497;07 5758026;admin@arataki.school.nz;Shelley Blakey;http://www.arataki.school.nz/Home;Kaimanawa Street;0;Mount Maunganui;Kaimanawa Street;0;Mount Maunganui;3116;Main Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Bay of Plenty/Rotorua/Taupo;Te Maunga;Mount Maunganui-Papamoa Ward;-37.675.378;176.231.122;360;97;237;12;12;1;1;0
3704;Ardgowan School;6;N;-1;-1;0;122;Full Primary;State;Waitaki District;Otago Region;Dunedin;Waitaki;Te Tai Tonga;03 4331366;03 4331366;office@ardgowan.school.nz;Julie French;http://ardgowanschool.wikispaces.com;Ardgowan Road;0;Oamaru;286 Ardgowan Road RD 1D;0;Oamaru;9492;Secondary Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Otago/Southland;Ardgowan;Oamaru Ward;-45.061.243;170.967.238;127;107;12;2;5;1;0;0
1208;Ardmore School;4;L;-2;-2;0;352;Full Primary;State;Auckland- Franklin;Auckland Region;Auckland South;Papakura;Hauraki-Waikato;09 2996228;09 2996228;0;Brigid Peterson;http://www.ardmore.school.nz;Clevedon Road;0;Papakura;599 Papakura-Clevedon Road RD 2;0;Papakura;2582;Main Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Auckland;Ardmore;Franklin Ward;-37.033.892;174.999.905;354;216;85;20;26;6;1;0
